periode,kode,kategori,teks_diri,teks_publik
pengukuran,Q1,Self-Maturity (Kematangan Diri),Saya tidak melakukan perbuatan yang dilarang dalam Al-Qur'an & Sunnah,Yang bersangkutan tidak melakukan perbuatan yang dilarang dalam Al-Qur'an & Sunnah
pengukuran,Q2,Self-Maturity (Kematangan Diri),Saya menjalankan sholat lima waktu,Yang bersangkutan menjalankan sholat lima waktu
pengukuran,Q3,Self-Maturity (Kematangan Diri),Saya menjalankan ibadah sholat sunnah & puasa sunnah,Yang bersangkutan terbiasa menjalankan ibadah sholat sunnah & puasa sunnah
pengukuran,Q4,Self-Maturity (Kematangan Diri),Saya meningkatkan kualitas ketakwaan melalui kajian kegamaan,Yang bersangkutan terbiasa meningkatkan kualitas ketakwaan melalui kajian kegamaan
pengukuran,Q5,Self-Maturity (Kematangan Diri),Saya berani menyampaikan kebenaran meski tidak populis,Yang bersangkutan berani menyampaikan kebenaran meski tidak populis
pengukuran,Q6,Self-Maturity (Kematangan Diri),Saya amanah dalam menjalankan kewajiban,Yang bersangkutan terbiasa amanah dalam menjalankan kewajiban
pengukuran,Q7,Self-Maturity (Kematangan Diri),Saya menjadi teladan dalam setiap perkataan dan perbuatan,Yang bersangkutan berusaha menjadi teladan dalam setiap perkataan dan perbuatan
pengukuran,Q8,Self-Maturity (Kematangan Diri),Saya menyelesaikan tugas dengan tuntas dan optimal,Yang bersangkutan berusaha menyelesaikan tugas dengan tuntas dan optimal
pengukuran,Q9,Self-Maturity (Kematangan Diri),Saya tidak menunda dan mengabaikan tanggung jawab yang diberikan,Yang bersangkutan terbiasa untuk tidak menunda dan mengabaikan tanggung jawab yang diberikan
pengukuran,Q10,Self-Maturity (Kematangan Diri),Saya berjuang sungguh-sungguh dalam menjalankan amanah,Yang bersangkutan berusaha untuk berjuang sungguh-sungguh dalam menjalankan amanah
pengukuran,Q11,Self-Maturity (Kematangan Diri),Saya Memiliki daya tahan terhadap tekanan dan fleksibel mengelola persoalan,Yang bersangkutan Memiliki daya tahan terhadap tekanan dan fleksibel mengelola persoalan
pengukuran,Q12,Self-Maturity (Kematangan Diri),Saya Mampu berfikir secara konsep dan teknis,Yang bersangkutan Mampu berfikir secara konsep dan teknis
pengukuran,Q13,Self-Maturity (Kematangan Diri),Saya Memiliki keterampilan dalam memetakan masalah dan solusi yang akan dilakukan,Yang bersangkutan Memiliki keterampilan dalam memetakan masalah dan solusi yang akan dilakukan
pengukuran,Q14,Self-Maturity (Kematangan Diri),Saya Terbuka dan mau menerima masukan,Yang bersangkutan terbiasa untuk selalu Terbuka dan mau menerima masukan
